institution_name,normalized_institution_name,registration_number,regulator,accreditation_status,ownership_type,institution_type,region,district_or_council,physical_location,mainland_or_zanzibar,website,phone_numbers,email,application_method,official_source_url,source_type,confidence_level,last_verified_date,notes
FIRE AND RESCUE TRAINING INSTITUTE,fire and rescue training institute,REG/EOS/032,NACTVET,,public,technical college,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
INSTITUTE OF ADULT EDUCATION - DAR-ES-SALAAM,institute of adult education dar es salaam,REG/PWF/018,NACTVET,,public,teacher college,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
"INSTITUTE OF ENVIRONMENT, CLIMATE AND DEVELOPMENT SUSTAINABILITY - DAR ES SALAAM",institute of environment climate and development sustainability dar es salaam,REG/ANE/031,NACTVET,,private,agriculture college,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
INSTITUTE OF FINANCE MANAGEMENT,institute of finance management,IFM,NACTVET ; TCU,,unknown,business college,Dar es Salaam,Chato District Council,Chato District Council - Geita,Mainland,,,,CAS ; TCU,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf ; https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026. ; Listed by TCU as non-university approved to admit students in 2025/2026. || Alternate official spellings/names seen: Institute of Finance Management (IFM) || Ownership labels differed across sources.
INSTITUTE OF FINANCE MANAGEMENT - DAR ES SALAAM,institute of finance management dar es salaam,REG/BMG/001,NACTVET,,public,business college,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
INSTITUTE OF HEAVY EQUIPMENT AND TECHNOLOGY,institute of heavy equipment and technology,REG/SAT/060,NACTVET,,private,technical college,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
INSTITUTE OF SOCIAL WORK - DAR ES SALAAM,institute of social work dar es salaam,REG/PWF/002,NACTVET,,public,community development/social work college,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
INSTITUTE OF TAX ADMINISTRATION DAR-ES-SALAAM,institute of tax administration dar es salaam,REG/BMG/017,NACTVET,,public,business college,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
INTERNATIONAL FILM ANGLES TRAINING SCHOOL,international film angles training school,REG/BTP/090P,NACTVET,,private,business college,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Institute of Accountancy Arusha (IAA) Dar es Salaam Campus,institute of accountancy arusha dar es salaam campus,,TCU,,public,business college,Dar es Salaam,,Dar es Salaam,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as non-university approved to admit students in 2025/2026.
Institute of Adult Education (IAE),institute of adult education,,TCU,,public,mixed,Dar es Salaam,,Dar es Salaam,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as non-university approved to admit students in 2025/2026.
Institute of Social Work (ISW),institute of social work,,TCU,,public,community development/social work college,Dar es Salaam,,Dar es Salaam,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as non-university approved to admit students in 2025/2026.
Institute of Tax Administration (ITA),institute of tax administration,,TCU,,public,mixed,Dar es Salaam,,Dar es Salaam,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as non-university approved to admit students in 2025/2026.
KAIRUKI SCHOOL OF NURSING,kairuki school of nursing,REG/HAS/025,NACTVET,,private,health college,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
KIGAMBONI CITY COLLEGE OF HEALTH AND ALLIED SCIENCES,kigamboni city college of health and allied sciences,REG/HAS/168,NACTVET,,private,health college,Dar es Salaam,Kigamboni Municipal Council,Kigamboni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
KILENZI MEMORIAL COLLEGE OF HEALTH AND ALLIED SCIENCES,kilenzi memorial college of health and allied sciences,REG/HAS/229,NACTVET,,private,health college,Dar es Salaam,Ubungo Municipal Council,Ubungo Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
KILIMANJARO INSTITUTE,kilimanjaro institute,REG/HAS/202P,NACTVET,,private,health college,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
KILIMANJARO INSTITUTE OF HEALTH AND ALLIED SCIENCES - DAR ES SALAAM,kilimanjaro institute of health and allied sciences dar es salaam,REG/HAS/236,NACTVET,,private,health college,Dar es Salaam,Ubungo Municipal Council,Ubungo Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
KILIMANJARO INSTITUTE OF TECHNOLOGY AND MANAGEMENT,kilimanjaro institute of technology and management,REG/ANE/029,NACTVET,,private,agriculture college,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Kairuki University (KU),kairuki university,,TCU,,private,university,Dar es Salaam,,Dar es Salaam,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as university approved to admit students in 2025/2026.
Kampala International University in Tanzania (KIUT),kampala international university in tanzania,,TCU,,private,university,Dar es Salaam,,Dar es Salaam,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as university approved to admit students in 2025/2026.
Kipawa ICT Centre,kipawa ict centre,,VETA,,public,vocational centre,Dar es Salaam,,"P.O.BOX 40040, Dar es Salaam",Mainland,,,,VETA,https://www.veta.go.tz/publication/doc/ORODHA%20YA%20VYUO%20VYA%20VETA%20NA%20FANI%20ZITAKAZOTOLEWA%20KWENYE%20VYUO%20WA%20VETA%20MWAKA%202026.pdf,regulator,high,2026-04-24,Training level(s): LEVEL I -Ill; Boarding/day: Kutwa
LAW SCHOOL OF TANZANIA,law school of tanzania,REG/BMG/040,NACTVET,,public,business college,Dar es Salaam,Ubungo Municipal Council,Ubungo Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
LIVESTOCK TRAINING AGENCY TEMEKE - DAR ES SALAAM CAMPUS,livestock training agency temeke dar es salaam campus,REG/SAT/004,NACTVET,,public,technical college,Dar es Salaam,Temeke Municipal Council,Temeke Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MSONGOLA HEALTH TRAINING INSTITUTE,msongola health training institute,REG/HAS/178,NACTVET,,private,health college,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MUFO COLLEGE OF HEALTH AND ALLIED SCIENCES,mufo college of health and allied sciences,REG/HAS/258P,NACTVET,,private,health college,Dar es Salaam,Temeke Municipal Council,Temeke Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
MUHIMBILI COLLEGE OF HEALTH AND ALLIED SCIENCES,muhimbili college of health and allied sciences,REG/HAS/101-J,NACTVET,,public,health college,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Muhimbili University of Health and Allied Sciences (MUHAS),muhimbili university of health and allied sciences,,TCU,,public,university,Dar es Salaam,,Dar es Salaam,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as university approved to admit students in 2025/2026.
Mwalimu Nyerere Memorial Academy (MNMA),mwalimu nyerere memorial academy,,TCU,,public,mixed,Dar es Salaam,,Dar es Salaam,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as non-university approved to admit students in 2025/2026.
Mzumbe University Dar es Salaam Campus College (MUDCCo),mzumbe university dar es salaam campus college,,TCU,,public,university college,Dar es Salaam,,Dar es Salaam,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as university campus college approved to admit students in 2025/2026.
NATIONAL COLLEGE OF TOURISM,national college of tourism,NCT,NACTVET,,unknown,tourism/hospitality college,Dar es Salaam,Temeke Municipal Council,Temeke Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
NATIONAL COLLEGE OF TOURISM - BUSTANI,national college of tourism bustani,REG/ANE/037,NACTVET,,public,agriculture college,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
NATIONAL INSTITUTE OF TRANSPORT (NIT),national institute of transport,REG/EOS/009,NACTVET ; TCU,,public,technical college,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,Mainland,,,,CAS ; TCU,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf ; https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026. ; Listed by TCU as non-university approved to admit students in 2025/2026. || Alternate official spellings/names seen: National Institute of Transport (NIT) || Ownership labels differed across sources.
NLAB INNOVATION ACADEMY,nlab innovation academy,REG/SAT/043,NACTVET,,private,technical college,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
NOBO COLLEGE,nobo college,REG/HAS/192N,NACTVET,,private,health college,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
NOFOTA COLLEGE OF HEALTH AND ALLIED SCIENCES,nofota college of health and allied sciences,REG/HAS/269P,NACTVET,,private,health college,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
NYAISHOZI COLLEGE OF HEALTH AND ALLIED SCIENCIES,nyaishozi college of health and allied sciencies,REG/HAS/212,NACTVET,,private,health college,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
Open University of Tanzania (OUT),open university of tanzania,,TCU,,public,university,Dar es Salaam,,Dar es Salaam,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as university approved to admit students in 2025/2026.
PADRE PIO COLLEGE OF HEALTH AND ALLIED SCIENCES,padre pio college of health and allied sciences,REG/HAS/186,NACTVET,,private,health college,Dar es Salaam,Temeke Municipal Council,Temeke Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
PARADIGMS INSTITUTE DAR-ES-SALAAM,paradigms institute dar es salaam,REG/BMG/033,NACTVET,,private,business college,Dar es Salaam,Ubungo Municipal Council,Ubungo Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
PRACTICAL SCHOOL OF JOURNALISM,practical school of journalism,PSJ,NACTVET,,unknown,technical college,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
RAIDA SCHOOL OF JOURNALISM AND MEDIA STUDIES - DAR ES SALAAM,raida school of journalism and media studies dar es salaam,REG/BTP/002,NACTVET,,private,business college,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
REGIONAL AVIATION COLLEGE - DAR ES SALAAM,regional aviation college dar es salaam,REG/EOS/028,NACTVET,,private,technical college,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
ROYAL TRAINING INSTITUTE,royal training institute,REG/HAS/103,NACTVET,,private,health college,Dar es Salaam,Temeke Municipal Council,Temeke Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
SANTAMARIA INSTITUTE OF HEALTH AND ALLIED SCIENCES,santamaria institute of health and allied sciences,REG/HAS/194,NACTVET,,private,health college,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
SIR EDWARD COLLEGE OF HEALTH AND ALLIED SCIENCES,sir edward college of health and allied sciences,REG/HAS/254,NACTVET,,private,health college,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
SKOA INTERNATIONAL COLLEGE OF HEALTH AND ALLIED SCIENCES,skoa international college of health and allied sciences,REG/HAS/257,NACTVET,,private,health college,Dar es Salaam,Ubungo Municipal Council,Ubungo Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
ST JOSEPH UNIVERSITY IN TANZANIA ENGINEERING AND TECHNOLOGY,st joseph university in tanzania engineering and technology,REG/EOS/023,NACTVET,,private,technical college,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET universities certificate and diploma guidebook 2025/2026.
ST. DAVID COLLEGE OF HEALTH SCIENCES,st david college of health sciences,REG/HAS/170,NACTVET,,private,health college,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
ST. JOSEPH UNIVERSITY COLLEGE OF HEALTH SCIENCES,st joseph university college of health sciences,REG/UHAS/007,NACTVET,,private,health college,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET universities certificate and diploma guidebook 2025/2026.
St. Joseph University College of Engineering and Technology (SJCET),st joseph university college of engineering and technology,,TCU,,private,university,Dar es Salaam,,Dar es Salaam,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as university approved to admit students in 2025/2026.
St. Joseph University College of Health and Allied Sciences (SJCHAS),st joseph university college of health and allied sciences,,TCU,,private,university,Dar es Salaam,,Dar es Salaam,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as university approved to admit students in 2025/2026.
TANZANIA INSTITUTE OF PROJECT MANAGEMENT,tanzania institute of project management,TIPM,NACTVET,,unknown,business college,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
TANZANIA PUBLIC SERVICE COLLEGE - DAR ES SALAAM,tanzania public service college dar es salaam,REG/BMG/009,NACTVET,,public,business college,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
TESTIMONY COLLEGE OF HEALTH AND ALLIED SCIENCES,testimony college of health and allied sciences,REG/HAS/150C,NACTVET,,private,health college,Dar es Salaam,Ubungo Municipal Council,Ubungo Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
THE MWALIMU NYERERE MEMORIAL ACADEMY - DAR ES SALAAM,mwalimu nyerere memorial academy dar es salaam,REG/PWF/003,NACTVET,,public,mixed,Dar es Salaam,Kigamboni Municipal Council,Kigamboni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
"Tanzania Institute of Accountancy (TIA), Dar es Salaam",tanzania institute of accountancy dar es salaam,,TCU,,public,business college,Dar es Salaam,,Dar es Salaam,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as non-university approved to admit students in 2025/2026.
"Tanzania Institute of Project Management (TIPM), Dar es Salaam",tanzania institute of project management dar es salaam,,TCU,,private,mixed,Dar es Salaam,,Dar es Salaam,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as non-university approved to admit students in 2025/2026.
"Tanzania Public Service College (TPSC), Dar es Salaam Campus",tanzania public service college dar es salaam campus,,TCU,,public,mixed,Dar es Salaam,,Dar es Salaam,Mainland,,,,TCU,https://www.tcu.go.tz/sites/default/files/admission_guidebooks/Bachelors_Degree_Admission_Guidebook_for_the_2025_2026_Academic_Year_For_Holders_of_Secondary_School_Qualifications.pdf,regulator,high,2026-04-24,Listed by TCU as non-university approved to admit students in 2025/2026.
UNITED AFRICAN TECHNICAL COLLEGE,united african technical college,REG/SAT/065,NACTVET,,private,technical college,Dar es Salaam,Kigamboni Municipal Council,Kigamboni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
UNIVERSAL COLLEGE OF AFRICA - DAR ES SALAAM,universal college of africa dar es salaam,REG/SAT/62,NACTVET,,private,technical college,Dar es Salaam,Temeke Municipal Council,Temeke Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
UNIVERSITY OF DAR ES SALAAM COMPUTING CENTRE - DAR ES SALAAM,university of dar es salaam computing centre dar es salaam,REG/EOS/026,NACTVET,,public,technical college,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
UNIVERSITY OF DAR ES SALAAM COMPUTING CENTRE - DODOMA,university of dar es salaam computing centre dodoma,REG/EOS/037,NACTVET,,public,technical college,Dar es Salaam,Dodoma Municipal Council,Dodoma Municipal Council - Dodoma,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
UNIVERSITY OF DAR ES SALAAM COMPUTING CENTRE - MBEYA,university of dar es salaam computing centre mbeya,REG/EOS/038P,NACTVET,,public,technical college,Dar es Salaam,Mbeya City Council,Mbeya City Council - Mbeya,Mainland,,,,CAS,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,regulator,high,2026-04-24,Listed in NACTVET technical institutions guidebook 2025/2026.
