institution_name,registration_number,registration_number_as_shown,accreditation_status,ownership_type,institution_category,region,district/council,physical_location,website,phone_numbers,email,application_method,has_form_four_direct_programme,official_source_url,source_type,secondary_source_url,secondary_source_type,tcu_matched_name,confidence_level,last_verified_date,notes
IMPERIAL COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/248,(REG/HAS/248),unknown,private,health,Zanzibar Urban/West,Mjini District,Mjini District - Zanzibar Urban/West,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - ARUSHA,REG/BMG/002,(REG/BMG/002),unknown,public,business,Arusha,Arusha District Council,Arusha District Council - Arusha,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - BABATI CAMPUS,REG/BTP/021,(REG/BTP/021),unknown,public,mixed,Manyara,Babati Town Counci,Babati Town Counci - Manyara,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - DAR ES SALAAM CAMPUS,REG/BTP/022,(REG/BTP/022),unknown,public,business,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - DODOMA CAMPUS,REG/BTP/136,(REG/BTP/136),unknown,public,business,Dodoma,Dodoma Municipal Council,Dodoma Municipal Council - Dodoma,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF ACCOUNTANCY ARUSHA (IAA) - SONGEA CAMPUS,REG/BTP/171,(REG/BTP/171),unknown,public,business,Ruvuma,Songea Municipal Council,Songea Municipal Council - Ruvuma,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF ADULT EDUCATION - DAR-ES-SALAAM,REG/PWF/018,(REG/PWF/018),unknown,public,teacher training,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF ADULT EDUCATION - MOROGORO,REG/TLF/0140,(REG/TLF/0140),unknown,public,teacher training,Morogoro,Morogoro Municipal Council,Morogoro Municipal Council - Morogoro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF ADULT EDUCATION - MWANZA,REG/TLF/142,(REG/TLF/142),unknown,public,teacher training,Mwanza,Nyamagana Municipal Council,Nyamagana Municipal Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF ADULT EDUCATION - SONGEA,REG/BTP/156P,(REG/BTP/156P),unknown,public,teacher training,Ruvuma,Songea Municipal Council,Songea Municipal Council - Ruvuma,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF CONSTRUCTION TECHNOLOGY,REG/SAT/035,(REG/SAT/035),unknown,public,technical,Morogoro,Morogoro Municipal Council,Morogoro Municipal Council - Morogoro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF CONTINUING AND PROFESSIONAL STUDIES - ZANZIBAR,REG/BMG/034,(REG/BMG/034),unknown,private,business,Zanzibar Urban/West,Magharibi District,Magharibi District - Zanzibar Urban/West,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
"INSTITUTE OF ENVIRONMENT, CLIMATE AND DEVELOPMENT SUSTAINABILITY - DAR ES SALAAM",REG/ANE/031,(REG/ANE/031),unknown,private,mixed,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF FINANCE MANAGEMENT (IFM) - GEITA CAMPUS CHATO,REG/BTP/166,(REG/BTP/166),unknown,public,business,Geita,Chato District Council,Chato District Council - Geita,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF FINANCE MANAGEMENT - DAR ES SALAAM,REG/BMG/001,(REG/BMG/001),unknown,public,mixed,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF FINANCE MANAGEMENT - DODOMA CAMPUS,REG/BTP/118,(REG/BTP/118),unknown,public,business,Dodoma,Dodoma Municipal Council,Dodoma Municipal Council - Dodoma,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF FINANCE MANAGEMENT - MWANZA CAMPUS,REG/BTP/041,(REG/BTP/041),unknown,public,business,Mwanza,Ilemela Municipal Council,Ilemela Municipal Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF FINANCE MANAGEMENT - SIMIYU CAMPUS,REG/BTP/119,(REG/BTP/119),unknown,public,business,Simiyu,Bariadi District Council,Bariadi District Council - Simiyu,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF FINANCE MANAGEMENT - ZANZIBAR,REG/BTP/173,(REG/BTP/173),unknown,public,business,Zanzibar Urban/West,Magharibi District,Magharibi District - Zanzibar Urban/West,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF HEAVY EQUIPMENT AND TECHNOLOGY,REG/SAT/060,(REG/SAT/060),unknown,private,ICT,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF JUDICIAL ADMINISTRATION (IJA) - LUSHOTO,REG/BMG/013,(REG/BMG/013),unknown,public,business,Tanga,Lushoto District Council,Lushoto District Council - Tanga,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF PROFESSIONAL AND INNOVATIONAL DEVELOPMENT(IPID),REG/BTP/124,(REG/BTP/124),unknown,private,business,Pemba South,Chake Chake Distric,Chake Chake Distric - Pemba South,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF PUBLIC ADMINISTRATION - PEMBA CAMPUS,REG/BTP/140P,(REG/BTP/140P),unknown,public,business,Pemba South,Chake Chake Distric,Chake Chake Distric - Pemba South,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF PUBLIC ADMINISTRATION - ZANZIBAR,REG/BMG/028,(REG/BMG/028),unknown,public,business,Zanzibar Central/South,Kati Distric,Kati Distric - Zanzibar Central/South,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF RURAL DEVELOPMENT PLANNING - DODOMA,REG/PWF/001,(REG/PWF/001),unknown,public,mixed,Dodoma,Dodoma Municipal Council,Dodoma Municipal Council - Dodoma,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF RURAL DEVELOPMENT PLANNING - MWANZA,REG/PWF/043,(REG/PWF/043),unknown,public,mixed,Mwanza,Magu District Council,Magu District Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF SOCIAL SCIENCE AND MANAGEMENT - IFAKARA,REG/BTP/174P,(REG/BTP/174P),unknown,private,mixed,Morogoro,Kilombero District Council,Kilombero District Council - Morogoro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF SOCIAL WORK - DAR ES SALAAM,REG/PWF/002,(REG/PWF/002),unknown,public,mixed,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF SOCIAL WORK - KISANGARA CAMPUS,REG/BTP/009,(REG/BTP/009),unknown,public,mixed,Kilimanjaro,Mwanga District Council,Mwanga District Council - Kilimanjaro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INSTITUTE OF TAX ADMINISTRATION DAR-ES-SALAAM,REG/BMG/017,(REG/BMG/017),unknown,public,business,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
INTERNATIONAL FILM ANGLES TRAINING SCHOOL,REG/BTP/090P,(REG/BTP/090P),unknown,private,business,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
ISIMILA NURSING SCHOOL,REG/HAS/131,(REG/HAS/131),unknown,private,health,Iringa,Iringa Municipal Council,Iringa Municipal Council - Iringa,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
JANESA INSTITUTE OF HEALTH AND ALLIED SCIENCES - DODOMA,REG/HAS/201,(REG/HAS/201),unknown,private,health,Dodoma,Dodoma Municipal Council,Dodoma Municipal Council - Dodoma,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
JEMA INSTITUTE OF TECHNOLOGY,REG/SAT0/47,(REG/SAT0/47),unknown,private,mixed,Mwanza,Nyamagana Municipal Council,Nyamagana Municipal Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
JORDAN UNIVERSITY COLLEGE,JUCO; JC,(JUCO) (JC),Accredited,private,mixed,Morogoro,Morogoro Municipal Council,Morogoro Municipal Council - Morogoro,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,Jordan University College (JUCo),high,2026-04-24,Listed in NACTVET Guidebook for Universities 2025/2026. Accreditation status matched to TCU institution list via 'Jordan University College (JUCo)'. Guidebook header uses code/acronym notation rather than a single standard regulator code; preserved as shown in registration_number_as_shown.
JR INSTITUTE OF INFORMATION TECHNOLOGY,REG/EOS/017,(REG/EOS/017),unknown,private,mixed,Arusha,Arusha City Council,Arusha City Council - Arusha,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
JR INSTITUTE OF INFORMATION TECHNOLOGY - DAR ES SALAAM,REG/NACTVET/1042,(REG/NACTVET/1042),unknown,religious,mixed,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
K'S ROYAL COLLEGE OF HEALTH SCIENCES,REG/HAS/135,(REG/HAS/135),unknown,private,health,Mbeya,Mbeya District Council,Mbeya District Council - Mbeya,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KAGEMU SCHOOL OF ENVIRONMENTAL HEALTH SCIENCES,REG/HAS/034,(REG/HAS/034),unknown,public,health,Kagera,Bukoba District Council,Bukoba District Council - Kagera,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KAHAMA COLLEGE OF HEALTH SCIENCES,REG/HAS/171,(REG/HAS/171),unknown,private,health,Shinyanga,Kahama Town Council,Kahama Town Council - Shinyanga,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KAHAMA SCHOOL OF NURSING,REG/HAS/064,(REG/HAS/064),unknown,public,health,Shinyanga,Kahama Town Council,Kahama Town Council - Shinyanga,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KAIRUKI SCHOOL OF NURSING,REG/HAS/025,(REG/HAS/025),unknown,private,health,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KALIUA INSTITUTE OF COMMUNITY DEVELOPMENT - MWANZA CAMPUS,REG/BTP/115,(REG/BTP/115),unknown,private,mixed,Mwanza,Misungwi District Council,Misungwi District Council - Mwanza,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KALIUA INSTITUTE OF COMMUNITY DEVELOPMENT -TABORA,REG/BTP/061,(REG/BTP/061),unknown,private,mixed,Tabora,Kaliua District Council,Kaliua District Council - Tabora,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KAM COLLEGE OF HEALTH SCIENCES,REG/HAS/104,(REG/HAS/104),unknown,private,health,Dar es Salaam,Kinondoni Municipal Council,Kinondoni Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KAMPALA INTERNATIONAL UNIVERSITY IN TANZANIA,KIUT; KUC,(KIUT) (KUC),Accredited,private,mixed,Dar es Salaam,Ilala Municipal Council,Ilala Municipal Council - Dar es Salaam,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,Kampala International University in Tanzania (KIUT),high,2026-04-24,Listed in NACTVET Guidebook for Universities 2025/2026. Accreditation status matched to TCU institution list via 'Kampala International University in Tanzania (KIUT)'. Guidebook header uses code/acronym notation rather than a single standard regulator code; preserved as shown in registration_number_as_shown.
KANGE COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/NACTVET/0716,(REG/NACTVET/0716),unknown,private,health,Tanga,Tanga City Council,Tanga City Council - Tanga,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KAOLE WAZAZI COLLEGE OF AGRICULTURE - BAGAMOYO,REG/SAT/21,(REG/SAT/21),unknown,private,mixed,Pwani,Bagamoyo District Council,Bagamoyo District Council - Pwani,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KAPS COMMUNITY DEVELOPMENT INSTITUTE (KCDI) - MBEYA,REG/BTP/032P,(REG/BTP/032P),unknown,private,mixed,Mbeya,Mbeya City Council,Mbeya City Council - Mbeya,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KAPS COMMUNITY DEVELOPMENT INSTITUTE - MAFINGA,REG/PWF/047,(REG/PWF/047),unknown,private,mixed,Iringa,Mufindi District Council,Mufindi District Council - Iringa,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
KARAGWE INSTITUTE OF ALLIED HEALTH SCIENCES,REG/HAS/146,(REG/HAS/146),unknown,private,health,Kagera,Karagwe District Council,Karagwe District Council - Kagera,,,,direct institution,yes,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,,high,2026-04-24,"Listed in NACTVET Admission Guidebook 2025/2026. Guidebook provides location, ownership, programme list, entry requirements, duration, capacity and fees, but not website/contact details or an exact accreditation-status label."
