programme_name,normalized_programme_name,award_level,field_category,institution_name,institution_registration_number,minimum_entry_requirements,required_subjects,duration,fees_if_available,mode,campus_location,admission_capacity,entry_route_types,accepts_form_four_direct,accreditation_status_if_available,application_link,official_source_url,source_type,secondary_source_url,secondary_source_type,confidence_level,last_verified_date,notes
Ordinary Diploma in Textile Technology,ordinary diploma in textile technology,ordinary diploma,other,DAR ES SALAAM INSTITUTE OF TECHNOLOGY - MWANZA CAMPUS,REG/SAT/013,Certificate of Secondary Education Examinations (CSEE) with 4+ non-religious passes including Basic Mathematics and Chemistry or General Certificate in Engineering or NVA Level III or Trade Test Certificate of Grade I in The Relevant Field with At Least two (2) Passes in Certificate of Secondary Education (CSEE) | NTA Level 4/BTC in Textile Technology,Chemistry; Basic Mathematics,3 years or 2 years,"Local Fee: TSH. 998,400/=",unknown,Ilemela Municipal Council - Mwanza,70,CSEE; NTA Level 4; Certificate; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Technician Certificate in Fashion and Design Technology,technician certificate in fashion and design technology,technician certificate,beauty/fashion,DAR ES SALAAM INSTITUTE OF TECHNOLOGY - MWANZA CAMPUS,REG/SAT/013,CSEE with At Least four Passes in non-religious Subject or Holders of NVA Level III with Certificate in Secondary Certificate Education,,2 years,"Local Fee: TSH. 995,400/=",unknown,Ilemela Municipal Council - Mwanza,70,CSEE; Certificate; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Civil Engineering,ordinary diploma in civil engineering,ordinary diploma,engineering,DAR ES SALAAM INSTITUTE OF TECHNOLOGY - MYUNGA CAMPUS,REG/SAT/054,"CSEE with 4+ non-religious passes including three Passes in Physics/Engineering Sciences, Mathematics and Chemistry or English",Chemistry; Physics/Engineering Sciences; Mathematics; English,3 years,"Local Fee: TSH. 1,155,400/=",unknown,Momba District Council - Mbeya,120,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Basic Technician Certificate in Cargo Tallying and Supply Chain Management,basic technician certificate in cargo tallying and supply chain management,basic technician certificate,logistics,DAR ES SALAAM MARITIME INSTITUTE,REG/EOS/002,CSEE with At Least four Passes in non-religious Subject or Holders of NVA Level III with Certificate in Secondary Certificate Education,,1 year,"Local Fee: TSH. 1,240,000/=; Foreigner Fee: USD 750/=",unknown,Ilala Municipal Council - Dar es Salaam,100,CSEE; Certificate; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Basic Technician Certificate in Marine Operations,basic technician certificate in marine operations,basic technician certificate,other,DAR ES SALAAM MARITIME INSTITUTE,REG/EOS/002,"CSEE with 4+ non-religious passes in any of the following subjects Basic Mathematics, Physics/Engineering Science, Chemistry, Geography and English and Pass in Basic mathematics and Physics or Engineering science is compulsory or NVA Level III in Mechanical Engineering, Electrical Engineering or Civil Engineering with CSEE",Chemistry; Physics/Engineering Sciences; Basic Mathematics; English; Geography,1 year,"Local Fee: TSH. 1,430,000/=; Foreigner Fee: USD 1,115/=",unknown,Ilala Municipal Council - Dar es Salaam,150,CSEE; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Marine Engineering Technology,ordinary diploma in marine engineering technology,ordinary diploma,engineering,DAR ES SALAAM MARITIME INSTITUTE,REG/EOS/002,NTA Level 4/BTC in Marine Operations,,2 years,"Local Fee: TSH. 1,650,000/=; Foreigner Fee: USD 1,265/=",unknown,Ilala Municipal Council - Dar es Salaam,50,NTA Level 4,no,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,medium,2026-04-24,Entry requirement text appears truncated in the source guidebook; manual verification recommended.
Ordinary Diploma in Maritime Transport and Nautical Science,ordinary diploma in maritime transport and nautical science,ordinary diploma,other,DAR ES SALAAM MARITIME INSTITUTE,REG/EOS/002,NTA Level 4/BTC in Maritime Operations or ACSEE with one principal pass and one subsidiary,,2 years,"Local Fee: TSH. 1,650,000/=; Foreigner Fee: USD 1,265/=",unknown,Ilala Municipal Council - Dar es Salaam,70,ACSEE; NTA Level 4,no,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Mechanical and Marine Engineering,ordinary diploma in mechanical and marine engineering,ordinary diploma,engineering,DAR ES SALAAM MARITIME INSTITUTE,REG/EOS/002,"Certificate of Secondary Education (CSEE) with 4+ non-religious passes including Mathematics, Physics/Engineering Science, Chemistry, and English or NVA Level III in Mechanical Engineering with CSEE",Chemistry; Physics/Engineering Sciences; Mathematics; English,3 years,"Local Fee: TSH. 1,530,000/=",unknown,Ilala Municipal Council - Dar es Salaam,80,CSEE; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Oil and Gas Engineering,ordinary diploma in oil and gas engineering,ordinary diploma,engineering,DAR ES SALAAM MARITIME INSTITUTE,REG/EOS/002,"Certificate of Secondary Education (CSEE) with 4+ non-religious passes Including Mathematics, Physics, Engineering Science, Chemistry, Geography and English or NVA Level III in Mechanical Engineering, Electrical Engineering or Civil Engineering with CSEE",Chemistry; Physics; Mathematics; English; Geography,3 years,"Local Fee: TSH. 1,530,000/=",unknown,Ilala Municipal Council - Dar es Salaam,60,CSEE; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
"Ordinary Diploma in Procurement, Logistics and Supply Chain Management",ordinary diploma in procurement logistics and supply chain management,ordinary diploma,logistics,DAR ES SALAAM MARITIME INSTITUTE,REG/EOS/002,"CSEE with 4+ non-religious passes or National Vocation Award (NVA) Level III with CSEE | NTA Level 4/BTC in Procurement, Logistics and Supply Chain Management, Shipping and Logistics Management, Logistics and Transport Management or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 1,386,000/=; Foreigner Fee: USD 945/=",unknown,Ilala Municipal Council - Dar es Salaam,200 or 100,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Shipping and Logistics Management,ordinary diploma in shipping and logistics management,ordinary diploma,logistics,DAR ES SALAAM MARITIME INSTITUTE,REG/EOS/002,"CSEE with 4+ non-religious passes or National Vocational Awards (NVA) Level III with CSEE | Basic Technician Certificates (NTA Level 4) in Shipping and Logistics Management, Logistics and Transport Management or ACSEE with at least one principal pass and one subsidiary",,3 years or 2 years,"Local Fee: TSH. 1,386,000/=; Foreigner Fee: USD 1,085/=",unknown,Ilala Municipal Council - Dar es Salaam,300 or 200,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Transport and Supply Chain Management,ordinary diploma in transport and supply chain management,ordinary diploma,logistics,DAR ES SALAAM MARITIME INSTITUTE,REG/EOS/002,"CSEE with 4+ non-religious passes or National Vocation Award (NVA) Level III with CSEE | Basic Technician Certificates (NTA Level 4) in Transport and Supply Chain Management, Logistics and Supply Chain Management , Marine Operations, Shipping and Logistics Management and Logistics and Transport Management or ACSEE with at least one Principal pass and one Subsidiary",,3 years or 2 years,"Local Fee: TSH. 1,100,000/=",unknown,Ilala Municipal Council - Dar es Salaam,100 or 50,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Law,ordinary diploma in law,ordinary diploma,law,DAR ES SALAAM POLICE ACADEMY,REG/PWF/032,CSEE with 4+ non-religious passes including English language | NTA Level 4/BTC in Law or ACSEE with 1 principal + 1 subsidiary,English Language; English,3 years or 2 years,"Local Fee: TSH. 800,000/=",unknown,Temeke Municipal Council - Dar es Salaam,100,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Medical Laboratory Sciences,ordinary diploma in medical laboratory sciences,ordinary diploma,health,DAR ES SALAAM POLICE ACADEMY,REG/PWF/032,"CSEE with 4+ non-religious passes including Chemistry, Biology, Physics/Engineering sciences/Basic Mathematics and English Language",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,200,000/=",unknown,Temeke Municipal Council - Dar es Salaam,70,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Textile and Fashion Design,ordinary diploma in textile and fashion design,ordinary diploma,beauty/fashion,DAR ES SALAAM REGIONAL VOCATIONAL TRAINING AND SERVICES CENTRE,REG/SAT/056,"CSEE with 4+ non-religious passes or National Vocation Award (NVA) III/Trade Test I in related fields and must have D passes in Certificate of Secondary Education (CSEE) | NTA Level 4/BTC in Textile and Fashion Design , Business, engineering, arts and design, agriculture, information technology or ACSEE with 1 principal + 1 subsidiary",Agriculture,3 years or 2 years,"Local Fee: TSH. 880,000/=",unknown,Temeke Municipal Council - Dar es Salaam,100,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Journalism,ordinary diploma in journalism,ordinary diploma,media,DAR ES SALAAM SCHOOL OF JOURNALISM,REG/PWF/012,"CSEE with 4+ non-religious passes or NVA Level III with CSEE | NTA Level 4/BTC In Journalism, Mass Communication, TV Production, Media Production or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 1,231,500/=; Foreigner Fee: USD 485/=",unknown,Ilala Municipal Council - Dar es Salaam,300 or 200,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Public Relation and Marketing,ordinary diploma in public relation and marketing,ordinary diploma,media,DAR ES SALAAM SCHOOL OF JOURNALISM,REG/PWF/012,"CSEE with 4+ non-religious passes or National Vocation Award (NVA) Level III with CSEE | NTA Level 4/BTC in Public Relation and Marketing, Mass Communication, Journalism and International Relation or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 850,000/=; Foreigner Fee: USD 369/=",unknown,Ilala Municipal Council - Dar es Salaam,150 or 100,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Educational Laboratory Science Technology,ordinary diploma in educational laboratory science technology,ordinary diploma,health,DAR ES SALAAM UNIVERSITY COLLEGE OF EDUCATION,DUCE; U/SAT/42,"CSEE with 4+ non-religious passes including two passes in Physics, chemistry, biology, Geography and Mathematics | Basic Technician Certificate in Educational laboratory and Technology or ACSEE with one principal pass and subsidiary pass in Physics, chemistry, Biology, Agriculture, and Geography",Biology; Chemistry; Physics; Mathematics; Geography; Agriculture,3 years or 2 years,"Local Fee: TSH. 1,000,000/=",unknown,Temeke Municipal Council - Dar es Salaam,50,CSEE; ACSEE; Certificate,yes,Accredited and Chartered,,https://www.nactvet.go.tz/uploads/documents/en-1748443284-GUIDEBOOK%20FOR%20ALL%20UNIVERSITIES_2025_2026.pdf,NACTVET,https://www.tcu.go.tz/services/accreditation/universities-registered-tanzania,TCU,high,2026-04-24,Combined 2 entry route(s) from the guidebook. Accreditation status inherited from the matched university/university college record in the TCU institution list.
Ordinary Diploma in Nursing and Midwifery,ordinary diploma in nursing and midwifery,ordinary diploma,health,DAREDA SCHOOL OF NURSING,REG/HAS/010,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 2,600,000/=",unknown,Babati District Council - Manyara,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Educational Management and Administration,ordinary diploma in educational management and administration,ordinary diploma,education,DC POLYTECHNIC EDUCATION INSTITUTE,REG/BTP/137,NTA Level 5/Technician Certificate in Educational Management and Administration,,1 year,"Local Fee: TSH. 750,000/=",unknown,Bukoba District Council - Kagera,450,NTA Level 5,no,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Technician Certificate in Educational Management,technician certificate in educational management,technician certificate,education,DC POLYTECHNIC EDUCATION INSTITUTE,REG/BTP/137,CSEE with 4+ non-religious passes,,2 years,"Local Fee: TSH. 750,000/=",unknown,Bukoba District Council - Kagera,150,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,medium,2026-04-24,Entry requirement text appears truncated in the source guidebook; manual verification recommended.
Ordinary Diploma in Medical Laboratory Sciences,ordinary diploma in medical laboratory sciences,ordinary diploma,health,DECCA COLLEGE OF HEALTH AND ALLIED SCIENCES - DODOMA,REG/HAS/142,"CSEE with 4+ non-religious passes including Chemistry, Biology, Physics/Engineering sciences/Basic Mathematics and English Language",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,600,000/=",unknown,Dodoma Municipal Council - Dodoma,200,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Nursing and Midwifery,ordinary diploma in nursing and midwifery,ordinary diploma,health,DECCA COLLEGE OF HEALTH AND ALLIED SCIENCES - DODOMA,REG/HAS/142,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,600,000/=",unknown,Dodoma Municipal Council - Dodoma,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Social Work,ordinary diploma in social work,ordinary diploma,social work,DECCA COLLEGE OF HEALTH AND ALLIED SCIENCES - DODOMA,REG/HAS/142,"CSEE with 4+ non-religious passes | NTA Level 4/BTC in Social Work, Gender, Community Development, Youth Work or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 1,600,000/=",unknown,Dodoma Municipal Council - Dodoma,100,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Clinical Medicine,ordinary diploma in clinical medicine,ordinary diploma,health,"DECCA COLLEGE OF HEALTH AND ALLIED SCIENCES - NALA CAMPUS, DODOMA",REG/HAS/183,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A Pass in Basic Mathematics and English Language Is An Added Advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,600,000/=",unknown,Dodoma Municipal Council - Dodoma,250,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Community Development,ordinary diploma in community development,ordinary diploma,social work,"DECCA COLLEGE OF HEALTH AND ALLIED SCIENCES - NALA CAMPUS, DODOMA",REG/HAS/183,"CSEE with 4+ non-religious passes | Basic Technician Certificate (NTA Level 4 ) in Community Development, Social Work, Gender, Youth Work or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 1,200,000/=",unknown,Dodoma Municipal Council - Dodoma,100,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Health Records and Information Technology,ordinary diploma in health records and information technology,ordinary diploma,health,"DECCA COLLEGE OF HEALTH AND ALLIED SCIENCES - NALA CAMPUS, DODOMA",REG/HAS/183,"CSEE with 4+ non-religious passes including Chemistry, Biology, Basic Mathematics and English Language",Biology; Chemistry; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,400,000/=",unknown,Dodoma Municipal Council - Dodoma,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Pharmaceutical Sciences,ordinary diploma in pharmaceutical sciences,ordinary diploma,health,"DECCA COLLEGE OF HEALTH AND ALLIED SCIENCES - NALA CAMPUS, DODOMA",REG/HAS/183,CSEE with 4+ non-religious passes including Chemistry and Biology. A Pass in Basic Mathematics and English Language Is An Added Advantage,Biology; Chemistry; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,600,000/=",unknown,Dodoma Municipal Council - Dodoma,300,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Veterinary Laboratory Technology,ordinary diploma in veterinary laboratory technology,ordinary diploma,health,"DECCA COLLEGE OF HEALTH AND ALLIED SCIENCES - NALA CAMPUS, DODOMA",REG/HAS/183,"CSEE with 4+ non-religious passes including two passes in Biology, Chemistry, Physics/Engineering Sciences, Basic Mathematics, Agriculture Science and Geography or National Vocation Award (NVA) III/Trade Test I in Animal Health with CSEE with a Certificate of Secondary Education (CSEE) | NTA Level 4/BTC in Veterinary Laboratory Technology",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; Geography; Agriculture,3 years or 2 years,"Local Fee: TSH. 1,300,000/=",unknown,Dodoma Municipal Council - Dodoma,70,CSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Medical Laboratory Sciences,ordinary diploma in medical laboratory sciences,ordinary diploma,health,DIVINE COLLEGE OF HEALTH AND ALLIED SCIENCES,REG/HAS/253,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A Pass in Basic Mathematics and English Language Is An Added Advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,500,000/=; Foreigner Fee: USD 1,000/=",unknown,Kigoma-Ujiji Municipal Council - Kigoma,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Agriculture Production,ordinary diploma in agriculture production,ordinary diploma,agriculture,DODOMA INSTITUTE OF DEVELOPMENT AND ENTREPRENEURSHIP DODOMA,REG/BTP/085,"CSEE with 4+ non-religious passes including two (2) Passes in Biology, Chemistry, Physics/ Engineering Sciences, Basic Mathematics, Nutrition, Agriculture Science and Geography or NVA Level III in Agriculture with a CSEE | NTA Level 4/BTC in Agriculture Production or ACSEE with one Principal Pass and one Subsidiary in Biology, Chemistry, Physics, Advanced Mathematics, Agriculture Science and Geography",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; Advanced Mathematics; Geography; Agriculture; Food and Nutrition,3 years or 2 years,"Local Fee: TSH. 1,020,000/=; Foreigner Fee: USD 530/=",unknown,Dodoma Municipal Council - Dodoma,300,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Community Development,ordinary diploma in community development,ordinary diploma,social work,DODOMA INSTITUTE OF DEVELOPMENT AND ENTREPRENEURSHIP DODOMA,REG/BTP/085,"CSEE with 4+ non-religious passes | NTA Level 4/BTC in Community Development, Social Work, Gender, Youth Work, Planning Management or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 1,020,000/=; Foreigner Fee: USD 511/=",unknown,Dodoma Municipal Council - Dodoma,100 or 300,CSEE; ACSEE; NTA Level 4,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Nursing and Midwifery,ordinary diploma in nursing and midwifery,ordinary diploma,health,DODOMA INSTITUTE OF HEALTH AND ALLIED SCIENCES,REG/HAS/002,"CSEE with 4+ non-religious passes including Chemistry, Biology and Physics/Engineering Sciences. A pass in Basic Mathematics and English Language is an added advantage",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,110,400/=",unknown,Dodoma Municipal Council - Dodoma,100,CSEE,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Journalism,ordinary diploma in journalism,ordinary diploma,media,DODOMA MEDIA COLLEGE,REG/BTP/088P,"CSEE with 4+ non-religious passes or NVA Level III with a CSEE | NTA Level 4/BTC In Journalism, Mass Communication, TV Production, Media Production or ACSEE with 1 principal + 1 subsidiary",,3 years or 2 years,"Local Fee: TSH. 1,000,000/=",unknown,Dodoma Municipal Council - Dodoma,100,CSEE; ACSEE; NTA Level 4; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Civil Engineering,ordinary diploma in civil engineering,ordinary diploma,engineering,DON BOSCO TECHNICAL TRAINING COLLEGE - DODOMA,REG/BTP/134,"CSEE with 4+ non-religious passes, two Must be among the following subjects: Physics/Engineering Science, Basic Mathematics, Chemistry, Biology or English Language or CSEE with a minimum of two passes and National Vocational Award(nva) Level III",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,200,000/=; Foreigner Fee: USD 1,000/=",unknown,Dodoma Municipal Council - Dodoma,100,CSEE; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Hospitality Operations and Management,ordinary diploma in hospitality operations and management,ordinary diploma,tourism,DON BOSCO TECHNICAL TRAINING COLLEGE - DODOMA,REG/BTP/134,CSEE with 4+ non-religious passes or NVA Level III with a CSEE | Basic Technical Certificate in (NTA Level 4) in Hospitality or ACSEE with 1 principal + 1 subsidiaryup,,3 years or 2 years,"Local Fee: TSH. 1,200,000/=; Foreigner Fee: USD 1,000/=",unknown,Dodoma Municipal Council - Dodoma,100,CSEE; ACSEE; NTA Level 4; Certificate; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,Combined 2 entry route(s) from the guidebook.
Ordinary Diploma in Mechatronics Engineering,ordinary diploma in mechatronics engineering,ordinary diploma,engineering,DON BOSCO TECHNICAL TRAINING COLLEGE - DODOMA,REG/BTP/134,"CSEE with 4+ non-religious passes, two must be among the following subjects: Physics/Engineering Science, Basic Mathematics, Chemistry, Biology or English Language or Holders of NVA Level III or Trade Test Certificate Grade I in Mechatronics Engineering with Pass in CSEE",Biology; Chemistry; Physics/Engineering Sciences; Basic Mathematics; English Language; English,3 years,"Local Fee: TSH. 1,200,000/=; Foreigner Fee: USD 1,000/=",unknown,Dodoma Municipal Council - Dodoma,100,CSEE; NVA Level III,yes,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
Ordinary Diploma in Vocational and Technical Teacher Education,ordinary diploma in vocational and technical teacher education,ordinary diploma,education,DON BOSCO TECHNICAL TRAINING COLLEGE - DODOMA,REG/BTP/134,Any Ordinary Diploma (NTA Level 6) in Any Field Related to Vocational Skills,,2 years,"Local Fee: TSH. 1,200,000/=; Foreigner Fee: USD 1,000/=",unknown,Dodoma Municipal Council - Dodoma,100,,no,unknown,,https://www.nactvet.go.tz/uploads/documents/en-1748443044-GUIDEBOOK%20FOR%20ALL%20NTA_2025_2026.pdf,NACTVET,,,high,2026-04-24,
