programme_name,normalized_programme_name,institution_name,normalized_institution_name,raw_requirement_text,accepts_form_four_direct,accepts_form_six,accepts_certificate,accepts_diploma,accepts_equivalent,minimum_csee_division_if_available,minimum_acsee_principal_passes_if_available,minimum_points_if_available,required_subjects,required_subject_grades_if_available,required_prior_field_if_available,bridge_or_foundation_required,eligibility_confidence,official_source_url,notes
Ordinary Diploma in Business Administration,ordinary diploma in business administration,COVENANT INSTITUTE OF TANZANIA,covenant tanzania,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects,yes,no,no,no,no,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Information Technology,ordinary diploma in information technology,COVENANT INSTITUTE OF TANZANIA,covenant tanzania,"Holders of Basic Technician Certificate (NTA Level 4) in Procurement and Supply with Information Technology, Logistics and Supply Chain Management, Shipping and Logistics Management, Logistics and Transport Management OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects.",no,yes,yes,no,no,,,,,,Procurement and Supply,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Information Technology,ordinary diploma in information technology,COVENANT INSTITUTE OF TANZANIA,covenant tanzania,Holders of Certificate of Secondary Education Examination (CSEE) with four (4) Passes in non-religious Subjects OR National Vocational Award (NVA) III with a Certificate of Secondary Education Examination (CSEE),yes,no,yes,no,yes,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Pharmaceutical Sciences,ordinary diploma in pharmaceutical sciences,COVENANT INSTITUTE OF TANZANIA,covenant tanzania,Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects including Chemistry and Biology. A Pass in Basic Mathematics and English Language Is An Added Advantage,yes,no,no,no,no,four CSEE passes,,,Basic Mathematics; Biology; Chemistry; English; English Language; Mathematics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Procurement and Supply with Information Technology,ordinary diploma in procurement and supply with information technology,COVENANT INSTITUTE OF TANZANIA,covenant tanzania,"Holders of Basic Technician Certificate (NTA Level 4) in Procurement and Supply with Information Technology, Logistics and Supply Chain Management, Shipping and Logistics Management, Logistics and Transport Management OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects.",no,yes,yes,no,no,,,,,,Procurement and Supply,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Procurement and Supply with Information Technology,ordinary diploma in procurement and supply with information technology,COVENANT INSTITUTE OF TANZANIA,covenant tanzania,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects OR National Vocation Award (NVA) Level III with Certificate of Secondary Education Examination (CSEE),yes,no,yes,no,yes,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Social Work,ordinary diploma in social work,COVENANT INSTITUTE OF TANZANIA,covenant tanzania,"Holders of Basic Technician Certificate (NTA Level 4) in Social Work, Gender, Community Development, Youth Work OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects",no,yes,yes,no,no,,,,,,"Social Work, Gender, Community Development, Youth Work",no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Social Work,ordinary diploma in social work,COVENANT INSTITUTE OF TANZANIA,covenant tanzania,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects,yes,no,no,no,no,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Agriculture Production,ordinary diploma in agriculture production,"DABAGA INSTITUTE OF AGRICULTURE - KILOLO, IRINGA",dabaga agriculture kilolo iringa,"Holders of Basic Technician Certificate (NTA Level 4) in Agriculture Production OR Advanced Certificate of Secondary Education Examination (ACSEE) with one Principal pass and one Subsidiary in Biology, Chemistry, Physics, Advanced Mathematics, Agriculture Science and Geography.",no,yes,yes,no,no,,,,Advanced Mathematics; Agriculture; Biology; Chemistry; Geography; Mathematics; Physics,,Agriculture Production,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Agriculture Production,ordinary diploma in agriculture production,"DABAGA INSTITUTE OF AGRICULTURE - KILOLO, IRINGA",dabaga agriculture kilolo iringa,"Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects including two passes in Biology, Chemistry, Physics/Engineering Sciences, Basic Mathematics, Nutrition, Agriculture Science and Geography OR National Vocational Award (NVA) III in Agriculture with a Certificate of Secondary Education Examination (CSEE).",yes,no,yes,no,yes,four CSEE passes,,,Agriculture; Basic Mathematics; Biology; Chemistry; Engineering Science; Geography; Mathematics; Nutrition; Physics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Animal Health and Production,ordinary diploma in animal health and production,"DABAGA INSTITUTE OF AGRICULTURE - KILOLO, IRINGA",dabaga agriculture kilolo iringa,"Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects including two (2) passes in Biology, Chemistry, Physics, Mathematics, Geography and Agricultural Sciences OR National Vocational Award (NVA) III/Trade Test I in Animal Health and Production with at least two (2) passes in Certificate of Secondary Education Examination (CSEE).",yes,no,yes,no,yes,four CSEE passes,,,Biology; Chemistry; Geography; Mathematics; Physics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Agro Mechanics (AGM),agro mechanics agm,Dakawa VTC,dakawa vtc,Official VETA occupation listing does not state a programme-specific academic entry requirement in the source used.,unknown,unknown,unknown,unknown,unknown,,,,,,,unknown,low,https://www.veta.go.tz/publication/doc/hqxwsDjWybeZr6IpHKhaFwXoCG3kT0nS8fEaNHmw.pdf,"Eligibility unknown: VETA occupations PDF lists trades, not academic entry requirements."
Carpentry and Joinery (CJ),carpentry and joinery cj,Dakawa VTC,dakawa vtc,Official VETA occupation listing does not state a programme-specific academic entry requirement in the source used.,unknown,unknown,unknown,unknown,unknown,,,,,,,unknown,low,https://www.veta.go.tz/publication/doc/hqxwsDjWybeZr6IpHKhaFwXoCG3kT0nS8fEaNHmw.pdf,"Eligibility unknown: VETA occupations PDF lists trades, not academic entry requirements."
Design Sewing and Clothing Technology (DSCT),design sewing and clothing technology dsct,Dakawa VTC,dakawa vtc,Official VETA occupation listing does not state a programme-specific academic entry requirement in the source used.,unknown,unknown,unknown,unknown,unknown,,,,,,,unknown,low,https://www.veta.go.tz/publication/doc/hqxwsDjWybeZr6IpHKhaFwXoCG3kT0nS8fEaNHmw.pdf,"Eligibility unknown: VETA occupations PDF lists trades, not academic entry requirements."
Electrical Installation (EL),electrical installation el,Dakawa VTC,dakawa vtc,Official VETA occupation listing does not state a programme-specific academic entry requirement in the source used.,unknown,unknown,unknown,unknown,unknown,,,,,,,unknown,low,https://www.veta.go.tz/publication/doc/hqxwsDjWybeZr6IpHKhaFwXoCG3kT0nS8fEaNHmw.pdf,"Eligibility unknown: VETA occupations PDF lists trades, not academic entry requirements."
Leather Goods & Shoe Making (LG),leather goods and shoe making lg,Dakawa VTC,dakawa vtc,Official VETA occupation listing does not state a programme-specific academic entry requirement in the source used.,unknown,unknown,unknown,unknown,unknown,,,,,,,unknown,low,https://www.veta.go.tz/publication/doc/hqxwsDjWybeZr6IpHKhaFwXoCG3kT0nS8fEaNHmw.pdf,"Eligibility unknown: VETA occupations PDF lists trades, not academic entry requirements."
Masonry and Bricklaying (MB),masonry and bricklaying mb,Dakawa VTC,dakawa vtc,Official VETA occupation listing does not state a programme-specific academic entry requirement in the source used.,unknown,unknown,unknown,unknown,unknown,,,,,,,unknown,low,https://www.veta.go.tz/publication/doc/hqxwsDjWybeZr6IpHKhaFwXoCG3kT0nS8fEaNHmw.pdf,"Eligibility unknown: VETA occupations PDF lists trades, not academic entry requirements."
Plumbing & Pipe fitting (PPF),plumbing and pipe fitting ppf,Dakawa VTC,dakawa vtc,Official VETA occupation listing does not state a programme-specific academic entry requirement in the source used.,unknown,unknown,unknown,unknown,unknown,,,,,,,unknown,low,https://www.veta.go.tz/publication/doc/hqxwsDjWybeZr6IpHKhaFwXoCG3kT0nS8fEaNHmw.pdf,"Eligibility unknown: VETA occupations PDF lists trades, not academic entry requirements."
Diploma in Chinees Language,diploma in chinees language,UNIVERSITY OF DAR ES SALAAM,dar es salaam,Holders of Advanced Certificate of Secondary Education Examination with Two Principal Passes in either Language Subjects or Science Subjects.,no,yes,no,no,no,,two principal passes,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Diploma in Computer Science,diploma in computer science,UNIVERSITY OF DAR ES SALAAM,dar es salaam,"Holders of Certificate in Computer Sciences, Computer Engineering OR Advanced Certificate of Secondary Education Examination (ACSEE) with One Principal Pass and One Subsidiary Pass in Principal Subjects",no,yes,yes,no,no,,,,Computer Science,,"Computer Sciences, Computer Engineering",no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Diploma in Journalism,diploma in journalism,UNIVERSITY OF DAR ES SALAAM,dar es salaam,"Holders of Certificate in Journalism, Mass Communication, Public Relation OR Advanced Certificate of Secondary Education Examination (ACSEE) with one Principal pass and one Subsidiary in Principal subjects",no,yes,yes,no,no,,,,,,"Journalism, Mass Communication, Public Relation",no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Business Information Technology,ordinary diploma in business information technology,UNIVERSITY OF DAR ES SALAAM COMPUTING CENTRE - DAR ES SALAAM,dar es salaam computing dar es salaam,Holders of Basic Technician Certificate (NTA Level 4) in Information Communication Technology OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal Pass and one Subsidiary Pass.,no,yes,yes,no,no,,,,,,Information Communication Technology,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Business Information Technology,ordinary diploma in business information technology,UNIVERSITY OF DAR ES SALAAM COMPUTING CENTRE - DAR ES SALAAM,dar es salaam computing dar es salaam,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious Subjects; or National Vocational Award (NVA) Level III or Trade Test Grade I in a relevant Field with Secondary Education Examination (CSEE),yes,no,yes,no,yes,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Computing and Information Technology,ordinary diploma in computing and information technology,UNIVERSITY OF DAR ES SALAAM COMPUTING CENTRE - DAR ES SALAAM,dar es salaam computing dar es salaam,Holders of Basic Technician Certificate (NTA Level 4) in Information Communication Technology OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal Pass and one Subsidiary Pass,no,yes,yes,no,no,,,,,,Information Communication Technology,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Computing and Information Technology,ordinary diploma in computing and information technology,UNIVERSITY OF DAR ES SALAAM COMPUTING CENTRE - DAR ES SALAAM,dar es salaam computing dar es salaam,Holders of Certificate of Secondary Education Examination (CSEE) with four (4) passes in non-religious Subjects or National Vocational Award (NVA Level III or Trade Test Grade I with in Certificate of Secondary Education Examination (CSEE),yes,yes,yes,no,yes,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Computing and Information Technology,ordinary diploma in computing and information technology,UNIVERSITY OF DAR ES SALAAM COMPUTING CENTRE - DODOMA,dar es salaam computing dodoma,Holders of Basic Technician Certificate (NTA Level 4) in Information Communication Technology (ICT) OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal Pass and one Subsidiary Pass in Principal Subjects.,no,yes,yes,no,no,,,,,,Information Communication Technology (ICT),no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Computing and Information Technology,ordinary diploma in computing and information technology,UNIVERSITY OF DAR ES SALAAM COMPUTING CENTRE - DODOMA,dar es salaam computing dodoma,Holders of Certificate of Secondary Education Examination (CSEE) with four (4) passes in non-religious subject OR National Vocational Award (NVA) Level III or Trade test I with two passes in Certificate of Secondary Education Examination (CSEE).,yes,no,yes,no,yes,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Computing and Information Technology,ordinary diploma in computing and information technology,UNIVERSITY OF DAR ES SALAAM COMPUTING CENTRE - MBEYA,dar es salaam computing mbeya,Holders of Basic Technician Certificate (NTA Level 4) in Information Communication Technology (ICT) OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal Pass and one Subsidiary Pass in Principal Subjects.,no,yes,yes,no,no,,,,,,Information Communication Technology (ICT),no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Computing and Information Technology,ordinary diploma in computing and information technology,UNIVERSITY OF DAR ES SALAAM COMPUTING CENTRE - MBEYA,dar es salaam computing mbeya,Holders of Certificate of Secondary Education Examination (CSEE) with at least Four (4) passes in non-religious subjects OR National Vocational Award (NVA) Level III or Trade Test Grade I in relevant field with Certificate of Secondary Education Examination (CSEE),yes,no,yes,no,yes,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Educational Laboratory Science Technology,ordinary diploma in educational laboratory science technology,DAR ES SALAAM UNIVERSITY COLLEGE OF EDUCATION (DUCE),dar es salaam education duce,"Holders of Basic Technician Certificate in Educational laboratory and Technology OR Advanced Certificate of Secondary Education (ACSEE) with one principal pass and subsidiary pass in Physics, chemistry, Biology, Agriculture, and Geography",no,yes,yes,no,no,,,,Agriculture; Biology; Chemistry; Geography; Physics,,Educational laboratory and Technology,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Educational Laboratory Science Technology,ordinary diploma in educational laboratory science technology,DAR ES SALAAM UNIVERSITY COLLEGE OF EDUCATION (DUCE),dar es salaam education duce,"Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in Non-religious subjects including two passes in Physics, chemistry, biology, Geography and Mathematics",yes,no,no,no,no,four CSEE passes,,,Biology; Chemistry; Geography; Mathematics; Physics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET guidebook row.
Basic Technician Certificate in Cargo Tallying and Supply Chain Management,basic technician certificate in cargo tallying and supply chain management,DAR ES SALAAM MARITIME INSTITUTE,dar es salaam maritime,Holders of Certificate of Secondary Education Examination (CSEE) with At Least four Passes in non-religious Subject or Holders of National Vocational Award (NVA) Level III with Certificate in Secondary Certificate Education,yes,no,yes,no,yes,,,,,,Secondary Certificate Education,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Basic Technician Certificate in Marine Operations,basic technician certificate in marine operations,DAR ES SALAAM MARITIME INSTITUTE,dar es salaam maritime,"Holders of Certificate of Secondary Education Examination (CSEE) with at least Four (4) passes in non-religious subjects in any of the following subjects Basic Mathematics, Physics/Engineering Science, Chemistry, Geography and English and Pass in Basic mathematics and Physics or Engineering science is compulsory OR National Vocational Award (NVA) Level III in Mechanical Engineering, Electrical Engineering OR Civil Engineering with Certificate of Secondary Education Examination (CSEE).",yes,no,yes,no,yes,four CSEE passes,,,Basic Mathematics; Chemistry; Engineering Science; English; Geography; Mathematics; Physics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Marine Engineering Technology,ordinary diploma in marine engineering technology,DAR ES SALAAM MARITIME INSTITUTE,dar es salaam maritime,Holders of Basic Technician Certificate (NTA Level 4) in Marine Operations.,no,yes,yes,no,no,,,,,,Marine Operations,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Maritime Transport and Nautical Science,ordinary diploma in maritime transport and nautical science,DAR ES SALAAM MARITIME INSTITUTE,dar es salaam maritime,Holders of Basic Technician Certificate (NTA Level 4) in Maritime Operations OR Advanced Certificate of Secondary Education Examination (ACSEE) with one principal pass and one subsidiary,no,yes,yes,no,no,,,,,,Maritime Operations,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Mechanical and Marine Engineering,ordinary diploma in mechanical and marine engineering,DAR ES SALAAM MARITIME INSTITUTE,dar es salaam maritime,"Holders of Certificate of Secondary Education (CSEE) with at least four (4) passes in non-religious subjects including Mathematics, Physics/Engineering Science, Chemistry, and English OR National Vocational Award (NVA) Level III in Mechanical Engineering with Certificate of Secondary Education Examination (CSEE).",yes,no,yes,no,yes,four CSEE passes,,,Chemistry; Engineering Science; English; Mathematics; Physics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Oil and Gas Engineering,ordinary diploma in oil and gas engineering,DAR ES SALAAM MARITIME INSTITUTE,dar es salaam maritime,"Holders of Certificate of Secondary Education (CSEE) with At Least four (4) Passes in non-religious Subjects Including Mathematics, Physics, Engineering Science, Chemistry, Geography and English OR National Vocational Award (NVA) Level III in Mechanical Engineering, Electrical Engineering or Civil Engineering with Certificate of Secondary Education Examination (CSEE).",yes,no,yes,no,yes,four CSEE passes,,,Chemistry; Engineering Science; English; Geography; Mathematics; Physics,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
"Ordinary Diploma in Procurement, Logistics and Supply Chain Management",ordinary diploma in procurement logistics and supply chain management,DAR ES SALAAM MARITIME INSTITUTE,dar es salaam maritime,"Holders of Basic Technician Certificate (NTA Level 4) in Procurement, Logistics and Supply Chain Management, Shipping and Logistics Management, Logistics and Transport Management OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary in Principal subjects.",no,yes,yes,no,no,,,,,,"Procurement, Logistics and Supply Chain Management, Shipping and Logistics Management, Logistics and Transport Management",no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
"Ordinary Diploma in Procurement, Logistics and Supply Chain Management",ordinary diploma in procurement logistics and supply chain management,DAR ES SALAAM MARITIME INSTITUTE,dar es salaam maritime,Holders of Certificate of Secondary Education Examination (CSEE) with at least four (4) passes in non-religious subjects OR National Vocation Award (NVA) Level III with Certificate of Secondary Education Examination (CSEE).,yes,no,yes,no,yes,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Shipping and Logistics Management,ordinary diploma in shipping and logistics management,DAR ES SALAAM MARITIME INSTITUTE,dar es salaam maritime,Holders of Certificate of Secondary Education Examination (CSEE) with at least Four (4) passes in non-religious subjects OR National,yes,no,no,no,no,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Shipping and Logistics Management,ordinary diploma in shipping and logistics management,DAR ES SALAAM MARITIME INSTITUTE,dar es salaam maritime,"Vocational Awards (NVA) Level III with Certificate of Secondary Education Examination (CSEE). Holders of Basic Technician Certificates (NTA Level 4) in Shipping and Logistics Management, Logistics and Transport Management OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one principal pass and one subsidiary.",no,yes,yes,no,yes,,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Transport and Supply Chain Management,ordinary diploma in transport and supply chain management,DAR ES SALAAM MARITIME INSTITUTE,dar es salaam maritime,"Holders of Basic Technician Certificates (NTA Level 4) in Transport and Supply Chain Management, Logistics and Supply Chain Management , Marine Operations, Shipping and Logistics Management and Logistics and Transport Management OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal pass and one Subsidiary.",no,yes,no,no,no,,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Ordinary Diploma in Transport and Supply Chain Management,ordinary diploma in transport and supply chain management,DAR ES SALAAM MARITIME INSTITUTE,dar es salaam maritime,Holders of Certificate of Secondary Education Examination (CSEE) with At Least four (4) Passes in non-religious Subjects OR National Vocation Award (NVA) Level III with Certificate of Secondary Education Examination (CSEE).,yes,no,yes,no,yes,four CSEE passes,,,,,,no,high,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET guidebook row.
Bachelor Degree in Marine Engineering Technology,bachelor degree in marine engineering technology,Dar es Salaam Maritime Institute (DMI),dar es salaam maritime dmi,"Diploma or Full Technician Certificate (FTC) in Marine Engineering, Mechanical, Electronics or Electrical Engineering with an average of “B’’ or a minimum GPA of 3.0. OR Foundation Certificate of the OUT with a minimum GPA of 3.0.",no,no,yes,yes,yes,,,,,,"Marine Engineering, Mechanical, Electronics",yes,high,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: DMI02.
Bachelor Degree in Maritime Transport and Nautical Science,bachelor degree in maritime transport and nautical science,Dar es Salaam Maritime Institute (DMI),dar es salaam maritime dmi,"Diploma or Full Technician Certificate (FTC) in Maritime Transportation, Master Fisherman and Fisheries with an average of “B’’ or a minimum GPA of 3.0. OR Foundation Certificate of the OUT with a minimum GPA of 3.0.",no,no,yes,yes,yes,,,,,,"Maritime Transportation, Master Fisherman and Fisheries",yes,high,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: DMI01.
Bachelor Degree in Mechanical and Marine Engineering,bachelor degree in mechanical and marine engineering,Dar es Salaam Maritime Institute (DMI),dar es salaam maritime dmi,"Diploma or Full Technician Certificate (FTC) in Mechanical and Marine Engineering, Marine Engineering, Mechanical Engineering, Automobile Engineering, Electrical Engineering or Electronics Engineering with an average of “B’’ or a minimum GPA of 3.0. OR Foundation Certificate of the OUT with a minimum GPA of 3.0. Forwarding and Transport Management with an averagenof “B’’ or a minimum GPA of 3.0. OR Foundation Certificate of the OUT with a minimum GPA of 3.0. 100 4 Duration (Yrs)",no,no,yes,yes,yes,,,,,,"Mechanical and Marine Engineering, Marine Engineering, Mechanical Engineering, Automobile Engineering, Electrical Engineering",yes,medium,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: DMI07.
Bachelor Degree in Mechanical and Marine Engineering,bachelor degree in mechanical and marine engineering,Dar es Salaam Maritime Institute (DMI),dar es salaam maritime dmi,"Two principal passes in the following subjects: Advanced Mathematics, Physics or Chemistry.",no,yes,no,no,no,,two principal passes,4.0,Advanced Mathematics; Chemistry; Mathematics; Physics,,,no,high,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: DMI07.
Bachelor Degree in Mechatronics Engineering,bachelor degree in mechatronics engineering,Dar es Salaam Maritime Institute (DMI),dar es salaam maritime dmi,"Diploma or Full Technician Certificate (FTC) in Mechatronics Engineering, Marine Engineering, Automobile Engineering, Electrical Engineering and Electronics Engineering with an average of “B’’ or a minimum GPA of 3.0 and at least three passes at O ’ Level in the following subjects: Basic Mathematics, Physics/Engineering Science, Geography, Chemistry or English. OR Foundation Certificate of the OUT with a minimum GPA of 3.0. 50 4 Dar es Salaam University College of Education (DUCE), Dar es Salaam",no,no,yes,yes,yes,,,,Basic Mathematics; Chemistry; Engineering Science; English; Geography; Mathematics; Physics,,"Mechatronics Engineering, Marine Engineering, Automobile Engineering, Electrical Engineering and Electronics Engineering",yes,medium,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: DMI09.
Bachelor Degree in Mechatronics Engineering,bachelor degree in mechatronics engineering,Dar es Salaam Maritime Institute (DMI),dar es salaam maritime dmi,"Two principal passes in the following subjects: Advanced Mathematics, Physics or Chemistry. 4.0 100 4 Points",no,yes,no,no,no,,two principal passes,,Advanced Mathematics; Chemistry; Mathematics; Physics,,,no,medium,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU secondary-school qualification route; not direct Form Four entry. Programme code: DMI09.
Bachelor Degree in Naval Architecture and Offshore Engineering,bachelor degree in naval architecture and offshore engineering,Dar es Salaam Maritime Institute (DMI),dar es salaam maritime dmi,"Diploma or Full Technician Certificate (FTC) in Naval Architecture and Offshore Engineering, Marine Engineering, and Mechanical Engineering with an average of “B’’ or a minimum GPA of 3.0. OR Foundation Certificate of the OUT with a minimum GPA of 3.0",no,no,yes,yes,yes,,,,,,"Naval Architecture and Offshore Engineering, Marine Engineering, and Mechanical Engineering",yes,high,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU ordinary diploma/equivalent route. Programme code: DMI04.
