institution_name,normalized_institution_name,website,admissions_url,application_url,phone_numbers,email,logo_url,logo_source_url,logo_status,official_source_url,source_type,confidence_level,last_verified_date,notes,needs_review,review_reasons
"DECCA COLLEGE OF HEALTH AND ALLIED SCIENCES - NALA CAMPUS, DODOMA",decca health allied sciences nala campus dodoma,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
DIVINE COLLEGE OF HEALTH AND ALLIED SCIENCES,divine health allied sciences,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
UNIVERSITY OF DODOMA,dodoma,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
DODOMA INSTITUTE OF DEVELOPMENT AND ENTREPRENEURSHIP DODOMA,dodoma development entrepreneurship dodoma,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
DODOMA INSTITUTE OF HEALTH AND ALLIED SCIENCES,dodoma health allied sciences,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
DODOMA MEDIA COLLEGE,dodoma media,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
Dodoma RVTSC,dodoma rvtsc,https://www.veta.go.tz/,https://vetmis.veta.go.tz/,https://vetmis.veta.go.tz/,Tel:026 2324154; Fax:026 2322275,dodomarvtsc@veta.go.tz,,,missing,https://www.veta.go.tz/publication/doc/hqxwsDjWybeZr6IpHKhaFwXoCG3kT0nS8fEaNHmw.pdf,VETA list of occupations offered in VETA owned centres,medium,2026-04-26,VETA occupations extracted from official VETA-owned centres PDF. Programme-specific academic entry requirements are not stated in this source.,yes,Verify centre contact/region and current programme-specific entry requirements; source is an official but irregular PDF table.
University of Dodoma (UDOM),dodoma udom,,,,,,,,missing,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf; https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU 2025/2026 Bachelor degree admission guidebook - secondary school qualifications; TCU 2025/2026 Bachelor degree admission guidebook - ordinary diploma/equivalent qualifications,high,2026-04-26,Institution/programmes extracted from official TCU guidebook. Ownership is blank unless found in enrichment map.,no,
DON BOSCO TECHNICAL TRAINING COLLEGE - DODOMA,don bosco technical training dodoma,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
Dr. Salim Ahmed Salim Centre for Foreign Relations (CFR),dr salim ahmed salim foreign relations cfr,,,,,,,,missing,https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU 2025/2026 Bachelor degree admission guidebook - ordinary diploma/equivalent qualifications,high,2026-04-26,Institution/programmes extracted from official TCU guidebook. Ownership is blank unless found in enrichment map.,no,
EARTH SCIENCE INSTITUTE OF SHINYANGA (ESIS),earth science shinyanga esis,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
EAST AFRICA COLLEGE OF BUSINESS,east africa business,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
EAST EVANS COLLEGE OF HEALTH AND ALLIED SCIENCES,east evans health allied sciences,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
EASTERN AFRICA STATISTICAL TRAINING CENTRE - DAR-ES-SALAAM,eastern africa statistical training dar es salaam,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
Eastern Africa Statistical Training Centre (EASTC),eastern africa statistical training eastc,,,,,,,,missing,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf; https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU 2025/2026 Bachelor degree admission guidebook - secondary school qualifications; TCU 2025/2026 Bachelor degree admission guidebook - ordinary diploma/equivalent qualifications,high,2026-04-26,Institution/programmes extracted from official TCU guidebook. Ownership is blank unless found in enrichment map.,no,
EASTERN AND SOUTHERN AFRICAN MANAGEMENT INSTITUTE,eastern southern african management,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
ECASSA INSTITUTE OF SOCIAL PROTECTION,ecassa social protection,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
EDGAR MARANTA IFAKARA COLLEGE,edgar maranta ifakara,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
CENTRE FOR EDUCATIONAL DEVELOPMENT IN HEALTH ARUSHA,educational development health arusha,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
ELABS INSTITUTE OF HEALTH AND ALLIED SCIENCES,elabs health allied sciences,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
ELIJERRY COLLEGE OF HEALTH AND ALLIED SCIENCES,elijerry health allied sciences,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
"INSTITUTE OF ENVIRONMENT, CLIMATE AND DEVELOPMENT SUSTAINABILITY - DAR ES SALAAM",environment climate development sustainability dar es salaam,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
EXCELLENT COLLEGE OF HEALTH AND ALLIED SCIENCES - ARUSHA CAMPUS,excellent health allied sciences arusha campus,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
EXCELLENT COLLEGE OF HEALTH AND ALLIED SCIENCES - DAR ES SALAAM,excellent health allied sciences dar es salaam,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
EXCELLENT COLLEGE OF HEALTH AND ALLIED SCIENCES - KIBAHA,excellent health allied sciences kibaha,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
EXCELLENT COLLEGE OF HEALTH AND ALLIED SCIENCES - MBEYA,excellent health allied sciences mbeya,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
EXCELLENT COLLEGE OF HEALTH AND ALLIED SCIENCES - MWANZA CAMPUS,excellent health allied sciences mwanza campus,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
FANIKIWA JOURNALISM SCHOOL,fanikiwa journalism school,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
FARAJA HEALTH TRAINING INSTITUTE,faraja health training,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF FINANCE MANAGEMENT - DAR ES SALAAM,finance management dar es salaam,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF FINANCE MANAGEMENT - DODOMA CAMPUS,finance management dodoma campus,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
Institute of Finance Management (IFM),finance management ifm,,,,,,,,missing,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf; https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU 2025/2026 Bachelor degree admission guidebook - secondary school qualifications; TCU 2025/2026 Bachelor degree admission guidebook - ordinary diploma/equivalent qualifications,high,2026-04-26,Institution/programmes extracted from official TCU guidebook. Ownership is blank unless found in enrichment map.,no,
INSTITUTE OF FINANCE MANAGEMENT (IFM) - GEITA CAMPUS CHATO,finance management ifm geita campus chato,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
Institute of Finance Management (IFS),finance management ifs,,,,,,,,missing,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf,TCU 2025/2026 Bachelor degree admission guidebook - secondary school qualifications,high,2026-04-26,Institution/programmes extracted from official TCU guidebook. Ownership is blank unless found in enrichment map.,no,
INSTITUTE OF FINANCE MANAGEMENT - MWANZA CAMPUS,finance management mwanza campus,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF FINANCE MANAGEMENT - SIMIYU CAMPUS,finance management simiyu campus,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF FINANCE MANAGEMENT - ZANZIBAR,finance management zanzibar,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
FIRE AND RESCUE TRAINING INSTITUTE,fire rescue training,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
FISHERIES EDUCATION AND TRAINING AGENCY (FETA) KIGOMA,fisheries education training agency feta kigoma,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
FISHERIES EDUCATION AND TRAINING AGENCY (FETA) MBEGANI,fisheries education training agency feta mbegani,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
FISHERIES EDUCATION AND TRAINING AGENCY (FETA) - NYEGEZI CAMPUS,fisheries education training agency feta nyegezi campus,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
FOREST INDUSTRIES TRAINING INSTITUTE (FITI),forest industries training fiti,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
FORESTRY TRAINING INSTITUTE OLMOTONYI,forestry training olmotonyi,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
GEITA INSTITUTE OF BUSINESS AND TECHNOLOGY,geita business technology,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
GEITA SCHOOL OF NURSING,geita school nursing,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
GLORIOUS POLYTECHNIC COLLEGE,glorious polytechnic,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
GOLD SEAL MEDICAL COLLEGE,gold seal medical,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
GRAND INSTITUTE OF BUSINESS STUDIES,grand business studies,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
GREEN BIRD COLLEGE - MWANGA,green bird mwanga,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
HABARI MAALUM COLLEGE (HMC),habari maalum hmc,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
HAGAFILO COLLEGE OF DEVELOPMENT MANAGEMENT,hagafilo development management,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
HALLMARK SOUTHERN COLLEGE FOR MEDIA AND TECHNOLOGY,hallmark southern media technology,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
HAYDOM INSTITUTE OF HEALTH SCIENCES,haydom health sciences,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INSTITUTE OF HEAVY EQUIPMENT AND TECHNOLOGY,heavy equipment technology,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
HERMARGS INSTITUTE,hermargs,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
HISANI INSTITUTE OF HEALTH AND ALLIED SCIENCES,hisani health allied sciences,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
HORTICULTURAL RESEARCH AND TRAINING INSTITUTE TENGERU - ARUSHA,horticultural research training tengeru arusha,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
HUBERT KAIRUKI MEMORIAL UNIVERSITY,hubert kairuki memorial,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
HUHESO INSTITUTE OF JOURNALISM AND COMMUNITY DEVELOPMENT (HIJCD),huheso journalism community development hijcd,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
HURUMA INSTITUTE OF HEALTH AND ALLIED SCIENCES,huruma health allied sciences,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
IAMBI NURSING SCHOOL,iambi nursing school,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
IGABIRO TRAINING INSTITUTE OF AGRICULTURE - MULEBA,igabiro training agriculture muleba,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
Ileje DVTC,ileje dvtc,https://www.veta.go.tz/,https://vetmis.veta.go.tz/,https://vetmis.veta.go.tz/,,,,,missing,https://www.veta.go.tz/publication/doc/hqxwsDjWybeZr6IpHKhaFwXoCG3kT0nS8fEaNHmw.pdf,VETA list of occupations offered in VETA owned centres,medium,2026-04-26,VETA occupations extracted from official VETA-owned centres PDF. Programme-specific academic entry requirements are not stated in this source.,yes,Verify centre contact/region and current programme-specific entry requirements; source is an official but irregular PDF table.
ILEMBULA INSTITUTE OF HEALTH AND ALLIED SCIENCES,ilembula health allied sciences,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
ILULA NURSING SCHOOL,ilula nursing school,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
IMANI COLLEGE OF HEALTH AND ALLIED SCIENCES,imani health allied sciences,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
IMPERIAL COLLEGE OF HEALTH AND ALLIED SCIENCES,imperial health allied sciences,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
INTERNATIONAL FILM ANGLES TRAINING SCHOOL,international film angles training school,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
UNIVERSITY OF IRINGA,iringa,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_UNIVERSITIES_2025_2026.pdf,NACTVET admission guidebook 2025/2026 - universities offering certificate/diploma programmes,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
Iringa RVTSC,iringa rvtsc,https://www.veta.go.tz/,https://vetmis.veta.go.tz/,https://vetmis.veta.go.tz/,Tel:026-2702865; Fax: 026-2702974,iringarvtsc@veta.go.tz,,,missing,https://www.veta.go.tz/publication/doc/hqxwsDjWybeZr6IpHKhaFwXoCG3kT0nS8fEaNHmw.pdf,VETA list of occupations offered in VETA owned centres,medium,2026-04-26,VETA occupations extracted from official VETA-owned centres PDF. Programme-specific academic entry requirements are not stated in this source.,yes,Verify centre contact/region and current programme-specific entry requirements; source is an official but irregular PDF table.
University of Iringa (UoI),iringa uoi,,,,,,,,missing,https://tcu.go.tz/sites/default/files/public_notices/2025-07/Admission%20Guidebook%20for%20Holders%20of%20Secondary%20School%20Qualifications_2025_2026.pdf; https://tcu.go.tz/sites/default/files/file_uploads/guide_books/2025-07/Admissions%20Guidebook%20for%20Holders%20of%20Diploma%20or%20Equivalent%20Qualifications_2025_2026.pdf,TCU 2025/2026 Bachelor degree admission guidebook - secondary school qualifications; TCU 2025/2026 Bachelor degree admission guidebook - ordinary diploma/equivalent qualifications,high,2026-04-26,Institution/programmes extracted from official TCU guidebook. Ownership is blank unless found in enrichment map.,no,
ISIMILA NURSING SCHOOL,isimila nursing school,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
JANESA INSTITUTE OF HEALTH AND ALLIED SCIENCES - DODOMA,janesa health allied sciences dodoma,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
JEMA INSTITUTE OF TECHNOLOGY,jema technology,,,,,,,,missing,https://www.nactvet.go.tz/storage/public/files/GUIDEBOOK_FOR_ALL_NTA_2025_2026.pdf,NACTVET NTA admission guidebook 2025/2026 - technical institutions,high,2026-04-26,Institution/programmes extracted from official NACTVET guidebook.,no,
